node,spread_D2,spread_D4,spread_D8
CHEHALIS_NODE2,30.29223263480392,42.169397708333335,56.21641156862745
CHEHALIS_NODE3,30.29223263480392,42.169397708333335,56.21641156862745
CHERRYLA_GNODE1,31.068433223039214,44.55351981617646,59.33107167892157
CHERRY_2_N001,37.38327664215686,61.69505196078431,97.67465340686276
CHESTN_7_NBT1,48.834511519607844,77.54573693627451,102.8728975
CHESTN_7_NBT2,48.834511519607844,77.54573693627451,102.8728975
CHESTN_7_NSR1,48.834511519607844,77.54573693627451,102.8728975
CHESTN_7_NSR2,48.834511519607844,77.54573693627451,102.8728975
CHEVGEN1_7_B1,31.56273979166667,51.159292732843134,69.38010162990196
CHEVGEN2_7_B1,31.56273979166667,51.159292732843134,69.38010162990196
CHEVMAIN_6_N004,30.88743360294118,48.36264226715686,67.01451386029413
CHILOQUI_GNODE1,32.677891936274506,45.435534852941174,58.88071691176471
CHINO_6_GN001,29.214550833333334,44.13789571078431,57.344162855392156
CHINO_6_N003,29.214550833333334,44.13789571078431,57.344162855392156
CHINO_6_N008,29.214550833333334,44.13789571078431,57.344162855392156
CHINO_6_N010,29.214550833333334,44.13789571078431,57.344162855392156
CHINO_6_N019,29.214550833333334,44.13789571078431,57.344162855392156
CHINO_6_N020,29.214550833333334,44.13789571078431,57.344162855392156
CHINO_6_N033,29.214550833333334,44.13789571078431,57.344162855392156
CHINO_6_N108,29.214550833333334,44.13789571078431,57.344162855392156
CHOLLA_NODET,30.353029338235295,52.090465490196074,73.36232220588236
CHOPINWF_GNODE1,25.857828615196077,37.937778492647055,50.93640659313726
CHRISTIE_6_B1,31.213795306372553,51.16018583333333,69.28712526960784
CHSTN_7_B1,41.59854401960784,68.03404067401961,97.16241525735296
CHWCGN_1_B1,71.72227132352941,119.68914653186275,176.7902012009804
CHWCHLA2_7_N001,71.72227132352941,119.68914653186275,176.7902012009804
CHWCHL_7_N001,71.67552795343138,119.59650643382352,176.77159287990196
CHWCHL_7_N002,71.67552795343138,119.59650643382352,176.77159287990196
CIMGEN_7_B1,29.214550833333334,44.13789571078431,57.344162855392156
CINER_7_UNIT1GNODE,8.476713835784315,12.915426973039214,15.185399080882354
CINER_7_UNIT2GNODE,8.476713835784315,12.915426973039214,15.185399080882354
CITYUKH_1_N001,52.436587083333336,78.58532958333333,118.82899947303923
CLARKRD_7_N002,21.966428578431373,35.781232083333336,52.8970868504902
CLARMNT_1_N028,32.11851655637255,54.12944323529411,72.29327675245099
CLAUSEN_2_CS2GNODE,15.5413068627451,22.715271446078432,28.429656862745098
CLAWSONC_1_SOLAR1GNODE,13.826686507352942,20.003498970588236,27.396931703431374
CLEARCT_7_N1,29.108763774509804,45.160289068627456,57.70457412990197
CLEARGEN_6_N004,29.108763774509804,45.160289068627456,57.70457412990197
CLEARST_7_B1,29.108763774509804,45.160289068627456,57.70457412990197
CLEARWA1_NODET,32.446226102941175,45.269807095588234,58.99811479166666
CLEARWA2_NODET,32.446226102941175,45.269807095588234,58.99811479166666
CLERLKE_6_N001,52.14945007352941,86.216614375,132.98439975490197
CLLCTR2A_7_N001,27.752946666666666,43.257746568627454,61.080239509803924
CLLCTR2B_7_N001,27.752946666666666,43.257746568627454,61.080239509803924
CLOVERCR_GNODE,12.631643137254903,17.888751654411767,22.899168443627453
CLOVER_6_N001,19.67729895833333,30.93639151960784,45.08487279411764
