node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
BLUELAKE_7_GN001,38.34479583333333,68.86750294117647,95.12009759803922,718.0,675.0,689.0,29.0
BLUESKY_7_N001,20.026325,35.39503745098039,41.392169754901964,1809.0,1559.0,1736.0,73.0
BLUNDELL_NODE1,5.81303725490196,9.889470588235294,13.078719117647058,2052.0,2051.0,2049.0,3.0
BLUNDELL_NODE2,5.81303725490196,9.889470588235294,13.078719117647058,2052.0,2051.0,2049.0,3.0
BLYTHES1_7_N001,23.1619318627451,37.376586764705884,57.0374137254902,1607.0,1461.0,1102.0,505.0
BLYTHES1_7_N002,23.1619318627451,37.376586764705884,57.0374137254902,1607.0,1461.0,1102.0,505.0
BLYTHESC_1_GN001,76.45910205882353,99.30042968137256,116.0847193137255,255.0,384.0,545.0,290.0
BLYTHESC_1_N005,76.45910205882353,99.30042968137256,116.0847193137255,255.0,384.0,545.0,290.0
BLYTHESC_1_N008,76.45910205882353,99.30042968137256,116.0847193137255,255.0,384.0,545.0,290.0
BONANZA_1_SOLAR1GNODE,8.00893431372549,10.24851419117647,12.527400710784313,2038.0,2045.0,2058.0,20.0
BONANZA_NODET,8.00893431372549,10.24851419117647,12.527400710784313,2038.0,2045.0,2058.0,20.0
BONNIEN_7_N002,25.252828088235294,46.733920147058825,77.44139468137254,1297.0,986.0,936.0,361.0
BORDEN_2_N008,87.09627794117647,144.58580882352942,237.6344562745098,235.0,243.0,226.0,9.0
BORDER_6_B1,66.57156681372548,86.54240276960785,111.94894487745098,347.0,430.0,583.0,236.0
BORREGO_6_N009,67.01211225490198,113.41864031862745,171.34845078431374,341.0,328.0,349.0,8.0
BORREGO_6_N012,67.01211225490198,113.41864031862745,171.34845078431374,341.0,328.0,349.0,8.0
BOULEVRD_1_B1,59.41532664215687,81.91795000000002,114.83155833333333,379.0,532.0,557.0,178.0
BOULEVRD_7_N012,59.41532664215687,81.91795000000002,114.83155833333333,379.0,532.0,557.0,178.0
BOWMAN_7_N002,25.78109144607843,44.82947458333334,69.50190473039217,1226.0,1020.0,987.0,239.0
BOWMNTAP_6_B1,25.78109144607843,44.82947458333334,69.50190473039217,1226.0,1020.0,987.0,239.0
BOXCANYN_GNODE1,25.67838007352941,40.93300963235294,54.200223333333334,1235.0,1124.0,1216.0,19.0
BP21Z_1_N002,46.71756642156863,84.59951330882353,135.9851119607843,532.0,441.0,386.0,146.0
BPFFD_1_N002,46.71756642156863,84.59951330882353,135.9851119607843,532.0,441.0,386.0,146.0
BRDGVLLE_1_B1,38.40801208333333,69.50631178921569,100.85922073529412,713.0,663.0,656.0,57.0
BRDGVLLE_6_B1,38.43759,70.06733708333334,104.73547789215687,712.0,662.0,632.0,80.0
BRDWAYB3_7_B1,23.659271470588237,34.24497629901961,47.92606458333333,1540.0,1744.0,1480.0,60.0
BREGGEN_7_N006,67.01211225490198,113.41864031862745,171.34845078431374,341.0,328.0,349.0,8.0
BRNYFRST_7_B1,23.587159534313727,42.17285083333333,61.78943992647059,1568.0,1088.0,1054.0,514.0
BROOKGEN_7_N002,24.323197941176467,38.15266426470589,51.33527892156864,1395.0,1388.0,1370.0,25.0
BROOKGEN_7_N003,24.323197941176467,38.15266426470589,51.33527892156864,1395.0,1388.0,1370.0,25.0
BRUNSWCK_1_N003,28.035811764705883,49.9958575,78.02566090686274,1003.0,964.0,925.0,78.0
BSKYNGSU_2_N002,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BSKYNPM_7_N001,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BSKYNPM_7_N003,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BSKYNPM_7_N004,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BSKYNPM_7_N005,20.085698039215686,34.68805036764706,40.52122200980392,1786.0,1721.0,1858.0,72.0
BUCKWND_1_B1,27.825576250000005,40.25071654411765,53.412376323529415,1038.0,1172.0,1255.0,217.0
BUCKWND_1_N001,27.825576250000005,40.25071654411765,53.412376323529415,1038.0,1172.0,1255.0,217.0
BUCKWND_1_N101,27.825576250000005,40.25071654411765,53.412376323529415,1038.0,1172.0,1255.0,217.0
BUCKWND_1_N201,27.825576250000005,40.25071654411765,53.412376323529415,1038.0,1172.0,1255.0,217.0
BUENAVT_2_N006,60.67052647058824,109.65089049019608,188.39997401960784,374.0,333.0,320.0,54.0
BULLARD_1_N001,88.32389791666668,161.40005156862748,242.21355764705885,231.0,207.0,212.0,19.0
BULLARD_1_N009,88.32389791666668,161.40005156862748,242.21355764705885,231.0,207.0,212.0,19.0
BUMONT_7_N001,26.347296887254906,38.04154767156862,42.159995343137254,1194.0,1456.0,1702.0,508.0
BURNEY_7_N001,23.549706960784313,41.88523791666667,61.58356068627451,1571.0,1094.0,1055.0,516.0
BUTTE_1_N101,25.515290220588234,45.64228852941177,70.22307144607845,1253.0,1007.0,980.0,273.0
BYUGEN_7_GNODE1,4.152883823529412,6.779999975490196,8.994780784313726,2104.0,2101.0,2087.0,17.0
BYUSUB_6_GNODE1,4.04898693627451,5.59535330882353,6.831252254901961,2117.0,2147.0,2154.0,37.0
C493GEN_7_N003,58.28194367647059,90.09928112745098,116.4060306862745,390.0,418.0,543.0,153.0
C590M1_7_N004,51.0285381372549,84.13863147058825,101.82988904411764,462.0,508.0,635.0,173.0
C643TM1_7_N001,30.41390370098039,47.8263875245098,75.3937468382353,953.0,973.0,949.0,4.0
C643T_2_B1,30.41390370098039,47.8263875245098,75.3937468382353,953.0,973.0,949.0,4.0
C877P1C2_7_N001,65.74393791666668,118.81241247549022,191.43118470588234,350.0,315.0,315.0,35.0
C877P2C2_7_N001,65.74393791666668,118.81241247549022,191.43118470588234,350.0,315.0,315.0,35.0
C877P2C2_7_ND002,65.74393791666668,118.81241247549022,191.43118470588234,350.0,315.0,315.0,35.0
CABALLO3_7_N001,65.43609159313726,122.00009159313726,220.66239159313727,355.0,289.0,253.0,102.0
CABALLO3_7_N002,65.43609159313726,122.00009159313726,220.66239159313727,355.0,289.0,253.0,102.0
CABRILLO_6_N011,66.90769274509803,99.9578455392157,131.23945514705883,344.0,380.0,459.0,115.0
CACHE_6_THERM1GNODE,3.8502980392156867,5.802680367647058,8.460446911764706,2168.0,2138.0,2125.0,43.0
CADET_6_N002,46.71756642156863,84.59951330882353,135.9851119607843,532.0,441.0,386.0,146.0
CAFLTSSS_2_B1,65.74393791666668,118.81241247549022,191.43118470588234,350.0,315.0,315.0,35.0
CALCMENT_7_N1,24.323197941176467,38.15266426470589,51.33527892156864,1395.0,1388.0,1370.0,25.0
CALGEN_7_N001,17.111903088235294,27.42682416666667,32.428076911764705,1952.0,1922.0,1947.0,5.0
CALISTGA_6_N004,45.019445000000005,83.75998958333334,124.09445583333334,596.0,527.0,512.0,84.0
CALPELLA_7_NBT1,45.81718583333334,79.39473166666667,128.10030875,584.0,563.0,493.0,91.0
CALPELLA_7_NSR1,45.81718583333334,79.39473166666667,128.10030875,584.0,563.0,493.0,91.0
CAMANCHE_7_N001,36.42728982843137,62.10210889705883,97.74198085784315,755.0,752.0,669.0,86.0
CAMANCHE_7_N002,36.42728982843137,62.10210889705883,97.74198085784315,755.0,752.0,669.0,86.0
