node,n_months_active,n_months_blue_or_purple,size_cv,size_median_x12,size_max_share,same_kstar_months,persistence_label
CRANEVLY_6_N003,9,5,0.8484504173089409,13371497229.024002,0.30963030471616426,5,9/12 mo · moderate
CRELMN_7_N001,10,3,0.5080505812159785,1609136337.2580001,0.19306356906623678,3,10/12 mo · moderate
CRELMN_7_N003,10,2,0.8375984309674649,1089622667.331,0.2567066969900511,6,10/12 mo · moderate
CRESSEY_1_N003,9,5,0.9808676638735752,4540678435.583999,0.3215094737954158,3,9/12 mo · moderate
CRESTA_2_B1,11,1,1.2080605245306075,3498257700.432,0.3195067699049511,4,11/12 mo · variable
CRESTWD_6_B1,10,1,0.8375984309674649,1089622667.331,0.2567066969900511,6,10/12 mo · moderate
CRIMSN_7_CN3,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
CRIMSN_7_CN4,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
CROCKTAP_2_B1,10,2,1.4643738940812443,3827921042.8259997,0.48506697434528484,4,10/12 mo · variable
CRWCRKGN_7_N001,5,1,1.3932054228401431,2743125425.3519993,0.6920620939131203,5,5/12 mo · variable
CSADIAB_7_N001,5,0,0.35663054797847293,1402790440.44,0.309387734518747,5,5/12 mo · stable
CSCCOG_6_N001,11,6,0.8839647480988532,1163879892.672,0.2240120620773131,5,11/12 mo · moderate
CSCGNRA1_7_N101,11,6,0.8839647480988532,1163879892.672,0.2240120620773131,5,11/12 mo · moderate
CSCGNRA2_7_N101,11,6,0.8839647480988532,1163879892.672,0.2240120620773131,5,11/12 mo · moderate
CSTRVLLE_1_N003,11,3,0.4983864346923587,2743125425.3519993,0.16642795697184384,8,11/12 mo · stable
CSTRVLLE_1_N004,11,3,0.4983864346923587,2743125425.3519993,0.16642795697184384,8,11/12 mo · stable
CSTRVLLE_1_N005,11,3,0.4983864346923587,2743125425.3519993,0.16642795697184384,8,11/12 mo · stable
CSUCISL_7_N001,11,0,1.3765506020226403,3312625200.6000004,0.41334770088273765,3,11/12 mo · variable
CTG1AGE_7_N001,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
CTG1AGN_7_N001,11,1,1.2164513983787137,2743125425.3519993,0.4135434977163184,3,11/12 mo · variable
CTG1BGE_7_N001,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
CTG1BGN_7_N001,11,1,1.2164513983787137,2743125425.3519993,0.4135434977163184,3,11/12 mo · variable
CTRPKGEN_7_B1,11,1,1.1011895694038358,3312625200.6000004,0.38399185265193253,3,11/12 mo · variable
CURRCRK_NODE1,4,0,1.5430418605623006,3405441450.516,0.8282162268145378,2,sporadic (4/12 mo)
CURRCRK_NODE2,4,0,1.5430418605623006,3405441450.516,0.8282162268145378,2,sporadic (4/12 mo)
CURRCRK_NODE3,4,0,1.5430418605623006,3405441450.516,0.8282162268145378,2,sporadic (4/12 mo)
CURTISS_1_N010,10,1,1.1598843838602106,3120691562.892,0.2983256511265006,4,10/12 mo · variable
CURTISS_1_N102,9,5,0.9808676638735752,4540678435.583999,0.3215094737954158,3,9/12 mo · moderate
CURTISS_1_N103,9,5,0.9808676638735752,4540678435.583999,0.3215094737954158,3,9/12 mo · moderate
CUTLER_NODE1,4,0,1.6911673071196482,2667214389.336,0.8827468007656636,2,sporadic (4/12 mo)
