Aggregate PNode ID,PNode ID,DESCRIPTION,abbrev,Plant Code,Plant Name,State,Latitude,Longitude,match_score,second_best,placement
TH_NP15_GEN-APND,GIFFGEN_7_N001,TH_NP15_GEN-APND,GIFFGEN,,,,,,,,unplaced
TH_SP15_GEN-APND,ELCAJNEG_7_GN001,TH_SP15_GEN-APND,ELCAJNEG,,,,,,,,unplaced
TH_NP15_GEN-APND,COLLINS_7_N002,TH_NP15_GEN-APND,COLLINS,54555.0,Collierville Powerhouse,CA,38.144636,-120.380497,5.0,0.0,precise
TH_SP15_GEN-APND,MCFLND_7_ND002,TH_SP15_GEN-APND,MCFLND,67498.0,McFarland C,AZ,32.946009,-113.491553,6.0,0.0,precise
TH_SP15_GEN-APND,MRCHNT13_7_N002,TH_SP15_GEN-APND,MRCHNT,,,,,,,,unplaced
TH_SP15_GEN-APND,VICTOR_7_N012,TH_SP15_GEN-APND,VICTOR,65743.0,Victory Pass,CA,33.701001,-115.316292,6.0,0.0,precise
TH_NP15_GEN-APND,WRGTSRGN_7_N001,TH_NP15_GEN-APND,WRGTSRGN,,,,,,,,unplaced
TH_ZP26_GEN-APND,HURONGEN_7_ND002,TH_ZP26_GEN-APND,HURONGEN,57523.0,Huron Solar Station,CA,36.181389,-120.030555,5.0,0.0,precise
TH_ZP26_GEN-APND,BKR111_7_N002,TH_ZP26_GEN-APND,BKR,,,,,,,,unplaced
TH_SP15_GEN-APND,RATTLSNK_7_RB1N001,TH_SP15_GEN-APND,RATTLSNK,,,,,,,,unplaced
TH_SP15_GEN-APND,MARVEL_7_NBT1,TH_SP15_GEN-APND,MARVEL,,,,,,,,unplaced
TH_SP15_GEN-APND,CONTROL_1_B1,TH_SP15_GEN-APND,CONTROL,,,,,,,,unplaced
TH_SP15_GEN-APND,BARRE_2_N043,TH_SP15_GEN-APND,BARRE,56474.0,Barre Peaker,CA,33.8073,-117.9832,5.0,0.0,precise
TH_ZP26_GEN-APND,Q775EQ1_7_N002,TH_ZP26_GEN-APND,Q,,,,,,,,unplaced
TH_SP15_GEN-APND,EASLEY_7_N006,TH_SP15_GEN-APND,EASLEY,,,,,,,,unplaced
TH_NP15_GEN-APND,SPAUL1-2_7_B2,TH_NP15_GEN-APND,SPAUL,,,,,,,,unplaced
TH_SP15_GEN-APND,OBERON_7_N122,TH_SP15_GEN-APND,OBERON,65734.0,Oberon Solar Project,CA,33.72899,-115.38238,6.0,0.0,precise
TH_SP15_GEN-APND,WS9_7_N002,TH_SP15_GEN-APND,WS,,,,,,,,unplaced
TH_SP15_GEN-APND,CNTFLT_7_ND2001,TH_SP15_GEN-APND,CNTFLT,,,,,,,,unplaced
TH_SP15_GEN-APND,CLEARCT_7_N1,TH_SP15_GEN-APND,CLEARCT,,,,,,,,unplaced
TH_NP15_GEN-APND,MISSON_1_N015,TH_NP15_GEN-APND,MISSON,,,,,,,,unplaced
TH_SP15_GEN-APND,VERNON_6_N006,TH_SP15_GEN-APND,VERNON,7436.0,Vernon,CA,33.9986,-118.2219,6.0,0.0,precise
TH_NP15_GEN-APND,RIOOSO_1_N033,TH_NP15_GEN-APND,RIOOSO,59249.0,Rio Bravo Solar 1 LLC,CA,35.416111,-119.6825,6.0,0.0,precise
TH_SP15_GEN-APND,SAUGUS_6_N009,TH_SP15_GEN-APND,SAUGUS,,,,,,,,unplaced
TH_SP15_GEN-APND,ROMOLA_7_005,TH_SP15_GEN-APND,ROMOLA,,,,,,,,unplaced
TH_NP15_GEN-APND,Q643WC2_7_N003,TH_NP15_GEN-APND,Q,,,,,,,,unplaced
TH_SP15_GEN-APND,LITLRKC1_7_N004,TH_SP15_GEN-APND,LITLRKC,,,,,,,,unplaced
TH_SP15_GEN-APND,TEHAPI1_6_N004,TH_SP15_GEN-APND,TEHAPI,,,,,,,,unplaced
TH_SP15_GEN-APND,CIMGEN_7_B1,TH_SP15_GEN-APND,CIMGEN,,,,,,,,unplaced
TH_ZP26_GEN-APND,AVENAL_6_GN001,TH_ZP26_GEN-APND,AVENAL,60077.0,CED Avenal,CA,35.996324,-120.15146,6.0,0.0,precise
TH_NP15_GEN-APND,USWP-JRW_2_N001,TH_NP15_GEN-APND,USWP,,,,,,,,unplaced
TH_SP15_GEN-APND,WESCAN_7_N002,TH_SP15_GEN-APND,WESCAN,,,,,,,,unplaced
TH_NP15_GEN-APND,CRESSEY_1_N003,TH_NP15_GEN-APND,CRESSEY,,,,,,,,unplaced
TH_NP15_GEN-APND,OROLOM_7_N001,TH_NP15_GEN-APND,OROLOM,,,,,,,,unplaced
TH_SP15_GEN-APND,ESRPP1_7_N001,TH_SP15_GEN-APND,ESRPP,,,,,,,,unplaced
TH_NP15_GEN-APND,4C687_1_B1,TH_NP15_GEN-APND,,,,,,,,,unplaced
TH_SP15_GEN-APND,SUNCAT_7_CN3,TH_SP15_GEN-APND,SUNCAT,57360.0,Sun City Project LLC,CA,35.983056,-120.110277,4.0,0.0,precise
TH_NP15_GEN-APND,Q965C2_7_N001,TH_NP15_GEN-APND,Q,,,,,,,,unplaced
TH_NP15_GEN-APND,USWINDPW_7_N009,TH_NP15_GEN-APND,USWINDPW,,,,,,,,unplaced
TH_NP15_GEN-APND,KEARNEY_7_N002,TH_NP15_GEN-APND,KEARNEY,,,,,,,,unplaced
TH_SP15_GEN-APND,DELSURC1_7_N005,TH_SP15_GEN-APND,DELSURC,,,,,,,,unplaced
TH_NP15_GEN-APND,ALMDACT2_7_B1,TH_NP15_GEN-APND,ALMDACT,,,,,,,,unplaced
TH_SP15_GEN-APND,JOHANNA_6_N05,TH_SP15_GEN-APND,JOHANNA,63843.0,"Johanna Energy Center, LLC",CA,33.715016,-117.853984,7.0,0.0,precise
TH_NP15_GEN-APND,SANLUIS6_7_B1,TH_NP15_GEN-APND,SANLUIS,,,,,,,,unplaced
TH_SP15_GEN-APND,EDWARD_7_N001,TH_SP15_GEN-APND,EDWARD,437.0,Edward C Hyatt,CA,39.542985,-121.492188,6.0,0.0,precise
TH_SP15_GEN-APND,ARLNG2MV_7_N001,TH_SP15_GEN-APND,ARLNG,64481.0,Arlington Energy Center II,CA,33.69088,-114.774944,5.0,0.0,precise
TH_NP15_GEN-APND,ELECTRA_2_B1,TH_NP15_GEN-APND,ELECTRA,239.0,Electra,CA,38.330985,-120.669901,7.0,0.0,precise
TH_NP15_GEN-APND,WEBER1_6_N002,TH_NP15_GEN-APND,WEBER,,,,,,,,unplaced
TH_SP15_GEN-APND,RERCU4_7_GN001,TH_SP15_GEN-APND,RERCU,,,,,,,,unplaced
TH_NP15_GEN-APND,TBLEMTN_6_N005,TH_NP15_GEN-APND,TBLEMTN,,,,,,,,unplaced
TH_NP15_GEN-APND,WEBER_7_N001R1,TH_NP15_GEN-APND,WEBER,,,,,,,,unplaced
TH_SP15_GEN-APND,ALTAD2_7_N006,TH_SP15_GEN-APND,ALTAD,,,,,,,,unplaced
TH_NP15_GEN-APND,MECCTG2_7_B2,TH_NP15_GEN-APND,MECCTG,,,,,,,,unplaced
TH_NP15_GEN-APND,OAKLND12_7_N001,TH_NP15_GEN-APND,OAKLND,,,,,,,,unplaced
TH_SP15_GEN-APND,ARLNG1MV_7_N002,TH_SP15_GEN-APND,ARLNG,64481.0,Arlington Energy Center II,CA,33.69088,-114.774944,5.0,0.0,precise
TH_SP15_GEN-APND,SHUTTLE_6_N022,TH_SP15_GEN-APND,SHUTTLE,,,,,,,,unplaced
TH_SP15_GEN-APND,ROMOLA_7_004,TH_SP15_GEN-APND,ROMOLA,,,,,,,,unplaced
TH_SP15_GEN-APND,MIRALOMA_6_N014,TH_SP15_GEN-APND,MIRALOMA,,,,,,,,unplaced
TH_SP15_GEN-APND,MOORPARK_6_N005,TH_SP15_GEN-APND,MOORPARK,,,,,,,,unplaced
TH_NP15_GEN-APND,ELKHRN_7_N002,TH_NP15_GEN-APND,ELKHRN,62564.0,Elkhorn Battery Energy Storage System,CA,36.808039,-121.781788,6.0,0.0,precise
TH_SP15_GEN-APND,HILLGEN_7_B1,TH_SP15_GEN-APND,HILLGEN,,,,,,,,unplaced
TH_NP15_GEN-APND,SNGRJCT_6_B1,TH_NP15_GEN-APND,SNGRJCT,,,,,,,,unplaced
TH_NP15_GEN-APND,LTBERA06_7_N003,TH_NP15_GEN-APND,LTBERA,,,,,,,,unplaced
TH_SP15_GEN-APND,VPASS_7_NBT1,TH_SP15_GEN-APND,VPASS,,,,,,,,unplaced
TH_SP15_GEN-APND,BIGCRK3_2_B1,TH_SP15_GEN-APND,BIGCRK,318.0,Big Creek 2,CA,37.2,-119.3069,6.0,0.0,precise
TH_SP15_GEN-APND,SUNGEN6G_7_N004,TH_SP15_GEN-APND,SUNGEN,52169.0,Midway Sunset Cogen,CA,35.2269,-119.6294,6.0,0.0,precise
TH_NP15_GEN-APND,VOLTA2_7_N001,TH_NP15_GEN-APND,VOLTA,,,,,,,,unplaced
TH_NP15_GEN-APND,CURTISS_1_N102,TH_NP15_GEN-APND,CURTISS,,,,,,,,unplaced
TH_SP15_GEN-APND,TEHAPI1_6_N003,TH_SP15_GEN-APND,TEHAPI,,,,,,,,unplaced
TH_PACW_GEN-APND,CLEARWA1_NODET,TH_PACW_GEN-APND,CLEARWA,3020.0,Clearwater 1,OR,43.251244,-122.337924,7.0,0.0,precise
TH_NP15_GEN-APND,WEBER_2_N021,TH_NP15_GEN-APND,WEBER,,,,,,,,unplaced
TH_SP15_GEN-APND,LITLRKC1_7_N007,TH_SP15_GEN-APND,LITLRKC,,,,,,,,unplaced
TH_SP15_GEN-APND,SBEBT4_7_NBT4,TH_SP15_GEN-APND,SBEBT,,,,,,,,unplaced
