node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_contribution,n_months_active,size_cv,size_max_share,same_kstar_months,persistence_label,n_tpp_projects,earliest_isd_active,oldest_plan_year,max_slip_years,projects_summary
OLDMLSLR_7_GNODER1,WHITE,44.47353901960784,0.20561907947754132,filled,199776475.485,ITC:PACE_FOURCORNE345_ITC,,unknown,7.219369057680491,-1.1084429777399087,-1.1084429777399087,-7.219369057680491,8759,0.8502635273866457,6,0.6030892514214147,0.2700211356128297,2,6/12 mo · moderate,0.0,,,,
OLDRIVR_6_N007,PURPLE,73.7021930882353,0.11606597482310875,filled,283786787.543,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,voltage proxy 70 kV,-4.315854280464883,5.933229903721839,5.933229903721839,4.315854280464883,8759,1.7251645634636188,12,1.1177520014057138,0.318348821925196,4,12/12 mo · variable,0.0,,,,
OLDRIVR_7_N033,PURPLE,73.7021930882353,0.11606597482310875,filled,283786787.543,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,voltage proxy 70 kV,-4.315854280464883,5.933229903721839,5.933229903721839,4.315854280464883,8759,1.7251645634636188,12,1.1177520014057138,0.318348821925196,4,12/12 mo · variable,0.0,,,,
OLDRIVR_7_N044,PURPLE,73.7021930882353,0.11606597482310875,filled,283786787.543,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,voltage proxy 70 kV,-4.315854280464883,5.933229903721839,5.933229903721839,4.315854280464883,8759,1.7251645634636188,12,1.1177520014057138,0.318348821925196,4,12/12 mo · variable,0.0,,,,
OLDTOWN_6_GN001,BLUE,60.109574632352945,0.18793663154524043,filled,153014256.52,NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1,700.0,voltage proxy 230 kV,-1.1726307648670846,3.1721404421776325,3.1721404421776325,1.1726307648670846,8759,2.373345284196329,9,0.6018914920918098,0.2044306541072629,2,9/12 mo · moderate,0.0,,,,
OLEUM_1_B1,WHITE,51.186255808823525,0.1631866960862579,filled,318993420.2355,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,4.864592150644309,1.0033464077554297,1.0033464077554297,-4.864592150644309,8759,1.5204779014783418,10,1.4643738940812443,0.4850669743452848,4,10/12 mo · variable,0.0,,,,
OLINDA_6_N004,RED,48.05649857843137,0.16061007979212052,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-6.187962467115761,-0.03967864691740256,-0.03967864691740256,6.187962467115761,8759,0.9234366360357826,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OLINDA_6_N007,RED,48.05649857843137,0.16061007979212052,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-6.187962467115761,-0.03967864691740256,-0.03967864691740256,6.187962467115761,8759,0.9234366360357826,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OLINDA_6_N008,RED,48.05649857843137,0.16061007979212052,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-6.187962467115761,-0.03967864691740256,-0.03967864691740256,6.187962467115761,8759,0.9234366360357826,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OLINDA_6_N009,RED,48.05649857843137,0.16061007979212052,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-6.187962467115761,-0.03967864691740256,-0.03967864691740256,6.187962467115761,8759,0.9234366360357826,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
