node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
CURTISS_1_N102,RED,104.2318211519608,0.1015490800401905,filled,,NOM:6110_COI_S-N,,unknown,-13.992445297619048,1.3734003273809523,1.3734003273809523,13.992445297619048,672,50237.93159,2.831164984287701,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
CRESSEY_1_N003,RED,104.2318211519608,0.1015490800401905,filled,,NOM:6110_COI_S-N,,unknown,-13.992445297619048,1.3734003273809523,1.3734003273809523,13.992445297619048,672,50237.93159,2.831164984287701,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
ELNIDBIO_6_N001,RED,104.20653718137254,0.1016281219381055,filled,,NOM:6110_COI_S-N,,unknown,-13.98675975595238,1.3733764211309525,1.3733764211309525,13.98675975595238,672,50237.93159,2.8313001061370837,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,29% | 23% | 12% | 8% | 6%
KONOCTI6_6_N001,WHITE,103.90384176470587,0.0983423878353871,filled,,NOM:6110_COI_S-N,,unknown,1.235387785714286,0.7481484375,0.7481484375,-1.235387785714286,672,50237.93159,3.156889064630682,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,30% | 26% | 19% | 9% | 4%
Q0577SS_2_B1,RED,103.56717534313724,0.0927489300511458,filled,,NOM:6110_COI_S-N,,unknown,-9.482037577380952,1.4073474107142856,1.4073474107142856,9.482037577380952,672,50237.93159,2.866029655786196,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,30% | 24% | 17% | 5% | 5%
2C577C1_7_N001,RED,103.56717534313724,0.0927489300511458,filled,,NOM:6110_COI_S-N,,unknown,-9.482037577380952,1.4073474107142856,1.4073474107142856,9.482037577380952,672,50237.93159,2.866029655786196,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,30% | 24% | 17% | 5% | 5%
COBURN_2_B1,RED,103.29506259803924,0.1111049892577266,filled,,NOM:6110_COI_S-N,,unknown,-7.349972904761905,1.4001759747023812,1.4001759747023812,7.349972904761905,672,50237.93159,2.9514694578803935,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,33% | 25% | 8% | 6% | 5%
OILFLDS_6_B1,RED,103.29506259803924,0.1119428493903233,filled,,NOM:6110_COI_S-N,,unknown,-7.595125648809525,1.4001759747023812,1.4001759747023812,7.595125648809525,672,50237.93159,2.951029402592297,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,33% | 25% | 7% | 6% | 5%
OILFLDS_6_N009,RED,103.29506259803924,0.1119428493903233,filled,,NOM:6110_COI_S-N,,unknown,-7.595125648809525,1.4001759747023812,1.4001759747023812,7.595125648809525,672,50237.93159,2.951029402592297,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,33% | 25% | 7% | 6% | 5%
KCTYPKER_7_B1,RED,103.29506259803924,0.1119428493903233,filled,,NOM:6110_COI_S-N,,unknown,-7.595125648809525,1.4001759747023812,1.4001759747023812,7.595125648809525,672,50237.93159,2.951029402592297,NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,33% | 25% | 7% | 6% | 5%
USWPRLF_2_N004,WHITE,102.92459335784312,0.0950499552652449,filled,,NOM:6110_COI_S-N,,unknown,2.5607237738095243,1.2477865029761903,1.2477865029761903,-2.5607237738095243,672,50237.93159,3.075127906328054,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,32% | 25% | 22% | 5% | 5%
KELSO1_7_N001,WHITE,102.88441063725487,0.0948682104127924,filled,,NOM:6110_COI_S-N,,unknown,2.6520945238095233,1.248494985119048,1.248494985119048,-2.6520945238095233,672,50237.93159,3.0741644435371738,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,32% | 25% | 22% | 5% | 4%
KELSO2_7_N001,WHITE,102.88441063725487,0.0948682104127924,filled,,NOM:6110_COI_S-N,,unknown,2.6520945238095233,1.248494985119048,1.248494985119048,-2.6520945238095233,672,50237.93159,3.0741644435371738,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,32% | 25% | 22% | 5% | 4%
